Performing system checks...

System check identified no issues (0 silenced).
November 02, 2023 - 02:06:01
Django version 4.2.6, using settings 'mysite.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

compra ejecutada - Precio: 15140.25
compra ejecutada - SL: 15135.5
compra ejecutada - TK: 15145.0
venta ejecutada - Precio: 15172.75
venta ejecutada - SL: 15175.75
venta ejecutada - TK: 15169.75
venta ejecutada - Precio: 15180.75
venta ejecutada - SL: 15188.25
venta ejecutada - TK: 15173.25
venta ejecutada - Precio: 15188.25
venta ejecutada - SL: 15193.0
venta ejecutada - TK: 15183.5
compra ejecutada - Precio: 15182.0
compra ejecutada - SL: 15176.25
compra ejecutada - TK: 15187.75
venta ejecutada - Precio: 15177.75
venta ejecutada - SL: 15180.25
venta ejecutada - TK: 15175.25
compra ejecutada - Precio: 15174.0
compra ejecutada - SL: 15166.5
compra ejecutada - TK: 15181.5
compra ejecutada - Precio: 15165.25
compra ejecutada - SL: 15160.0
compra ejecutada - TK: 15170.5
venta ejecutada - Precio: 15178.75
venta ejecutada - SL: 15183.0
venta ejecutada - TK: 15174.5
compra ejecutada - Precio: 15179.25
compra ejecutada - SL: 15174.75
compra ejecutada - TK: 15183.75
compra ejecutada - Precio: 15168.5
compra ejecutada - SL: 15162.75
compra ejecutada - TK: 15174.25
venta ejecutada - Precio: 15170.5
venta ejecutada - SL: 15179.75
venta ejecutada - TK: 15161.25
compra ejecutada - Precio: 15165.0
compra ejecutada - SL: 15158.75
compra ejecutada - TK: 15171.25
compra ejecutada - Precio: 15168.75
compra ejecutada - SL: 15161.0
compra ejecutada - TK: 15176.5
venta ejecutada - Precio: 15171.0
venta ejecutada - SL: 15175.5
venta ejecutada - TK: 15166.5
compra ejecutada - Precio: 15157.75
compra ejecutada - SL: 15152.0
compra ejecutada - TK: 15163.5
compra ejecutada - Precio: 15166.0
compra ejecutada - SL: 15148.5
compra ejecutada - TK: 15183.5
compra ejecutada - Precio: 15155.75
compra ejecutada - SL: 15141.75
